"Model","AIC","Common_n","Iteration","Group"
"Exponential",-37.4186686831373,10,1,"D0"
"PowerLaw",-72.3887541711785,10,1,"D0"
"Exponential",-22.6821439147152,10,1,"D1"
"PowerLaw",-67.9980844725035,10,1,"D1"
"Exponential",-18.0245477863985,10,1,"D3"
"PowerLaw",-37.4591399821363,10,1,"D3"
"Exponential",-16.4548350250367,10,1,"D5"
"PowerLaw",-56.8711234043899,10,1,"D5"
"Exponential",-7.35602039079594,10,1,"D6"
"PowerLaw",-34.4327001709721,10,1,"D6"
"Exponential",-6.78260162125521,10,1,"D7"
"PowerLaw",-23.0652564840576,10,1,"D7"
"Exponential",-38.5450879523895,10,2,"D0"
"PowerLaw",-86.5572964191917,10,2,"D0"
"Exponential",-23.5118575351588,10,2,"D1"
"PowerLaw",-72.4868831287132,10,2,"D1"
"Exponential",-18.535555643609,10,2,"D3"
"PowerLaw",-38.9547139951853,10,2,"D3"
"Exponential",-17.8910864855774,10,2,"D5"
"PowerLaw",-47.991822169401,10,2,"D5"
"Exponential",-8.01595226064129,10,2,"D6"
"PowerLaw",-30.2896462130991,10,2,"D6"
"Exponential",-1.44099105934765,10,2,"D7"
"PowerLaw",-26.2154301307989,10,2,"D7"
"Exponential",-38.4283619871455,10,3,"D0"
"PowerLaw",-85.6487226381567,10,3,"D0"
"Exponential",-25.5188527030887,10,3,"D1"
"PowerLaw",-67.705685261884,10,3,"D1"
"Exponential",-18.7345007023061,10,3,"D3"
"PowerLaw",-39.6944790859107,10,3,"D3"
"Exponential",-16.740070539883,10,3,"D5"
"PowerLaw",-51.8774786500601,10,3,"D5"
"Exponential",-9.47797438987363,10,3,"D6"
"PowerLaw",-38.5672131832524,10,3,"D6"
"Exponential",-1.58928310709326,10,3,"D7"
"PowerLaw",-24.5115686407247,10,3,"D7"
"Exponential",-37.793038655653,10,4,"D0"
"PowerLaw",-75.3709159510214,10,4,"D0"
"Exponential",-25.6307755975681,10,4,"D1"
"PowerLaw",-68.7010140802937,10,4,"D1"
"Exponential",-18.4097163412825,10,4,"D3"
"PowerLaw",-39.6163039132212,10,4,"D3"
"Exponential",-14.3604937857696,10,4,"D5"
"PowerLaw",-45.4296455070769,10,4,"D5"
"Exponential",-11.0168384409909,10,4,"D6"
"PowerLaw",-48.0692160594046,10,4,"D6"
"Exponential",-6.9649267461317,10,4,"D7"
"PowerLaw",-32.3861357121428,10,4,"D7"
"Exponential",-38.1491792808317,10,5,"D0"
"PowerLaw",-84.6332493074233,10,5,"D0"
"Exponential",-23.1249147697678,10,5,"D1"
"PowerLaw",-71.6671244590485,10,5,"D1"
"Exponential",-16.5575881765698,10,5,"D3"
"PowerLaw",-36.7945595605301,10,5,"D3"
"Exponential",-16.2747475328318,10,5,"D5"
"PowerLaw",-46.4275072936257,10,5,"D5"
"Exponential",-9.30850197422203,10,5,"D6"
"PowerLaw",-31.6371790761374,10,5,"D6"
"Exponential",-5.51562246344438,10,5,"D7"
"PowerLaw",-31.7208223551658,10,5,"D7"
"Exponential",-37.4139938498441,10,6,"D0"
"PowerLaw",-72.1897001483383,10,6,"D0"
"Exponential",-22.8642417477217,10,6,"D1"
"PowerLaw",-69.8711278400963,10,6,"D1"
"Exponential",-18.1364071686629,10,6,"D3"
"PowerLaw",-38.1647963510002,10,6,"D3"
"Exponential",-17.8594309372289,10,6,"D5"
"PowerLaw",-52.8393833691281,10,6,"D5"
"Exponential",-8.63860411675703,10,6,"D6"
"PowerLaw",-42.0248259261002,10,6,"D6"
"Exponential",-3.88993434714797,10,6,"D7"
"PowerLaw",-36.9388660151005,10,6,"D7"
"Exponential",-38.1281978110353,10,7,"D0"
"PowerLaw",-76.5637163839191,10,7,"D0"
"Exponential",-23.3391346056408,10,7,"D1"
