"Common_n","Iteration","Group","Order","Zeta","Ratio"
10,1,"D0",1,1,NA
10,1,"D0",2,0.827527937846954,0.827527937846954
10,1,"D0",3,0.739762173508386,0.893942234062919
10,1,"D0",4,0.686930151374992,0.928582422803759
10,1,"D0",5,0.651080785192352,0.947812210439617
10,1,"D0",6,0.625010962027537,0.959959157515126
10,1,"D0",7,0.605096140517634,0.968136844439818
10,1,"D0",8,0.589120576645082,0.97359830479354
10,1,"D0",9,0.575654963464623,0.977142857142857
10,1,"D0",10,0.5637735400701,0.979360165118679
10,1,"D1",1,1,NA
10,1,"D1",2,0.676817505570148,0.676817505570148
10,1,"D1",3,0.52826894740214,0.780519036600757
10,1,"D1",4,0.443221096498052,0.839006530059497
10,1,"D1",5,0.388438395837973,0.876398706891607
10,1,"D1",6,0.350481559783885,0.902283511463372
10,1,"D1",7,0.322837252012728,0.921124786741409
10,1,"D1",8,0.301948306176636,0.935295738933907
10,1,"D1",9,0.285732590172336,0.946296383610731
10,1,"D1",10,0.272919469536806,0.955156950672646
10,1,"D3",1,1,NA
10,1,"D3",2,0.594627278224065,0.594627278224065
10,1,"D3",3,0.469659670035415,0.789838756536897
10,1,"D3",4,0.409272078875603,0.871422659826724
10,1,"D3",5,0.372958287573473,0.911272248520115
10,1,"D3",6,0.348350794062118,0.934020789103642
10,1,"D3",7,0.330482853934525,0.948707049238399
10,1,"D3",8,0.316892689528087,0.958877853284544
10,1,"D3",9,0.306296968126458,0.966563692531347
10,1,"D3",10,0.298004664420834,0.972927241962775
10,1,"D5",1,1,NA
10,1,"D5",2,0.547130068457083,0.547130068457083
10,1,"D5",3,0.400770142180095,0.732495187680462
10,1,"D5",4,0.326149101030618,0.813805886976619
10,1,"D5",5,0.279062915318839,0.855629877369008
10,1,"D5",6,0.245580380651471,0.880017971470291
10,1,"D5",7,0.220050026329647,0.89604074130801
10,1,"D5",8,0.199754256626295,0.907767474324459
10,1,"D5",9,0.183254344391785,0.917398945518454
10,1,"D5",10,0.169826224328594,0.926724137931034
